date,n,day-of-week
2013-11-26,989,Tue
2013-11-27,1014,Wed
2013-11-28,634,Thu
2013-11-29,661,Fri
2013-11-30,857,Sat
2013-12-01,987,Sun
2013-12-02,1004,Mon
2013-12-03,973,Tue
2013-12-04,958,Wed
2013-12-05,969,Thu
2013-12-06,970,Fri
2013-12-07,691,Sat
2013-12-08,875,Sun
2013-12-09,962,Mon
2013-12-10,943,Tue
2013-12-11,954,Wed
2013-12-12,968,Thu
2013-12-13,970,Fri
2013-12-14,692,Sat
2013-12-15,880,Sun
2013-12-16,964,Mon
2013-12-17,949,Tue
2013-12-18,956,Wed
2013-12-19,974,Thu
2013-12-20,980,Fri
2013-12-21,811,Sat
2013-12-22,895,Sun
2013-12-23,985,Mon
2013-12-24,761,Tue
2013-12-25,719,Wed
2013-12-26,936,Thu
2013-12-27,963,Fri
2013-12-28,814,Sat
2013-12-29,888,Sun
2013-12-30,968,Mon
2013-12-31,776,Tue
2013-02-01,926,Fri
2013-02-02,682,Sat
2013-02-03,814,Sun
2013-02-04,932,Mon
2013-02-05,896,Tue
2013-02-06,901,Wed
2013-02-07,932,Thu
2013-02-08,930,Fri
2013-02-09,684,Sat
2013-02-10,829,Sun
2013-02-11,929,Mon
2013-02-12,893,Tue
2013-02-13,918,Wed
2013-02-14,956,Thu
2013-02-15,954,Fri
2013-02-16,738,Sat
2013-02-17,848,Sun
2013-02-18,948,Mon
2013-02-19,943,Tue
2013-02-20,949,Wed
2013-02-21,961,Thu
2013-02-22,957,Fri
2013-02-23,743,Sat
2013-02-24,880,Sun
2013-02-25,961,Mon
2013-02-26,938,Tue
2013-02-27,945,Wed
2013-02-28,964,Thu
2013-03-01,958,Fri
2013-03-02,765,Sat
2013-03-03,913,Sun
2013-03-04,977,Mon
2013-03-05,965,Tue
2013-03-06,972,Wed
2013-03-07,980,Thu
2013-03-08,979,Fri
2013-03-09,765,Sat
2013-03-10,908,Sun
2013-03-11,980,Mon
2013-03-12,966,Tue
2013-03-13,974,Wed
2013-03-14,982,Thu
2013-03-15,979,Fri
2013-03-16,767,Sat
2013-03-17,907,Sun
2013-03-18,981,Mon
2013-03-19,967,Tue
2013-03-20,970,Wed
2013-03-21,980,Thu
2013-03-22,977,Fri
2013-03-23,767,Sat
2013-03-24,905,Sun
2013-03-25,978,Mon
2013-03-26,973,Tue
2013-03-27,977,Wed
2013-03-28,982,Thu
2013-03-29,974,Fri
2013-03-30,769,Sat
2013-03-31,897,Sun
2013-04-01,970,Mon
2013-04-02,983,Tue
2013-04-03,992,Wed
2013-04-04,985,Thu
2013-04-05,981,Fri
2013-04-06,770,Sat
2013-04-07,911,Sun
2013-04-08,981,Mon
2013-04-09,975,Tue
2013-04-10,989,Wed
2013-04-11,992,Thu
2013-04-12,989,Fri
2013-04-13,770,Sat
2013-04-14,917,Sun
2013-04-15,995,Mon
2013-04-16,974,Tue
2013-04-17,988,Wed
2013-04-18,992,Thu
2013-04-19,988,Fri
2013-04-20,766,Sat
2013-04-21,919,Sun
2013-04-22,985,Mon
2013-04-23,965,Tue
2013-04-24,976,Wed
2013-04-25,983,Thu
2013-04-26,981,Fri
2013-04-27,757,Sat
2013-04-28,913,Sun
2013-04-29,983,Mon
2013-04-30,960,Tue
2013-05-01,964,Wed
2013-05-02,983,Thu
2013-05-03,978,Fri
2013-05-04,745,Sat
2013-05-05,912,Sun
2013-05-06,980,Mon
2013-05-07,955,Tue
2013-05-08,965,Wed
2013-05-09,981,Thu
2013-05-10,978,Fri
2013-05-11,738,Sat
2013-05-12,896,Sun
2013-05-13,979,Mon
2013-05-14,955,Tue
2013-05-15,967,Wed
2013-05-16,982,Thu
2013-05-17,980,Fri
2013-05-18,749,Sat
2013-05-19,911,Sun
2013-05-20,983,Mon
2013-05-21,962,Tue
2013-05-22,972,Wed
2013-05-23,988,Thu
2013-05-24,978,Fri
2013-05-25,728,Sat
2013-05-26,729,Sun
2013-05-27,928,Mon
2013-05-28,981,Tue
2013-05-29,974,Wed
2013-05-30,989,Thu
2013-05-31,986,Fri
2013-06-01,754,Sat
2013-06-02,911,Sun
2013-06-03,982,Mon
2013-06-04,960,Tue
2013-06-05,970,Wed
2013-06-06,976,Thu
2013-06-07,975,Fri
2013-06-08,779,Sat
2013-06-09,908,Sun
2013-06-10,987,Mon
2013-06-11,980,Tue
2013-06-12,983,Wed
2013-06-13,989,Thu
2013-06-14,989,Fri
2013-06-15,801,Sat
2013-06-16,918,Sun
2013-06-17,990,Mon
2013-06-18,982,Tue
2013-06-19,985,Wed
2013-06-20,995,Thu
2013-06-21,993,Fri
2013-06-22,812,Sat
2013-06-23,923,Sun
2013-06-24,994,Mon
2013-06-25,993,Tue
2013-06-26,995,Wed
2013-06-27,995,Thu
2013-06-28,994,Fri
2013-06-29,812,Sat
2013-06-30,918,Sun
2013-07-01,966,Mon
2013-07-02,945,Tue
2013-07-03,983,Wed
2013-07-04,737,Thu
2013-07-05,822,Fri
2013-07-06,805,Sat
2013-07-07,934,Sun
2013-07-08,1004,Mon
2013-07-09,1001,Tue
2013-07-10,1004,Wed
2013-07-11,1006,Thu
2013-07-12,1002,Fri
2013-07-13,811,Sat
2013-07-14,931,Sun
2013-07-15,999,Mon
2013-07-16,996,Tue
2013-07-17,1001,Wed
2013-07-18,1003,Thu
2013-07-19,999,Fri
2013-07-20,810,Sat
2013-07-21,929,Sun
2013-07-22,1000,Mon
2013-07-23,997,Tue
2013-07-24,1000,Wed
2013-07-25,1003,Thu
2013-07-26,999,Fri
2013-07-27,811,Sat
2013-07-28,930,Sun
2013-07-29,999,Mon
2013-07-30,997,Tue
2013-07-31,1001,Wed
2013-08-01,1000,Thu
2013-08-02,999,Fri
2013-08-03,809,Sat
2013-08-04,929,Sun
2013-08-05,1000,Mon
2013-08-06,996,Tue
2013-08-07,1001,Wed
2013-08-08,1001,Thu
2013-08-09,999,Fri
2013-08-10,807,Sat
2013-08-11,929,Sun
2013-08-12,1001,Mon
2013-08-13,995,Tue
2013-08-14,997,Wed
2013-08-15,1000,Thu
2013-08-16,998,Fri
2013-08-17,780,Sat
2013-08-18,914,Sun
2013-08-19,996,Mon
2013-08-20,986,Tue
2013-08-21,990,Wed
2013-08-22,990,Thu
2013-08-23,989,Fri
2013-08-24,774,Sat
2013-08-25,903,Sun
2013-08-26,982,Mon
2013-08-27,965,Tue
2013-08-28,973,Wed
2013-08-29,979,Thu
2013-08-30,965,Fri
2013-08-31,680,Sat
2013-09-01,718,Sun
2013-09-02,929,Mon
2013-09-03,956,Tue
2013-09-04,948,Wed
2013-09-05,969,Thu
2013-09-06,967,Fri
2013-09-07,688,Sat
2013-09-08,908,Sun
2013-09-09,991,Mon
2013-09-10,961,Tue
2013-09-11,947,Wed
2013-09-12,992,Thu
2013-09-13,996,Fri
2013-09-14,686,Sat
2013-09-15,900,Sun
2013-09-16,992,Mon
2013-09-17,961,Tue
2013-09-18,972,Wed
2013-09-19,992,Thu
2013-09-20,994,Fri
2013-09-21,693,Sat
2013-09-22,904,Sun
2013-09-23,993,Mon
2013-09-24,960,Tue
2013-09-25,976,Wed
2013-09-26,996,Thu
2013-09-27,996,Fri
2013-09-28,682,Sat
2013-09-29,914,Sun
2013-09-30,993,Mon
